figure,active_stem,source_csvs,source_workbook_sheets,rebuild_mode,active_script
Figure 1,Figure1_workflow,Figure1_nodes.csv; Figure1_edges.csv,FIG1_Nodes; FIG1_Edges,machine-readable source + reproducible plotting script; exact locked submission artwork preserved separately,scripts/build_publication_figures.py
Figure 2,Figure2_benchmark_transport,Figure2A_Benchmark.csv; Figure2B_Transport.csv; Figure2C_UN.csv,FIG2A_Benchmark; FIG2B_Transport; FIG2C_UN,machine-readable source + reproducible plotting script; exact locked submission artwork preserved separately,scripts/build_publication_figures.py
Figure 3,Figure3_budget_recovery,Figure3_budget_recovery_3_21.csv,Primary MLR+RF response-surface + balanced-504 full curve,machine-readable source + reproducible plotting script; exact locked submission artwork preserved separately,scripts/build_publication_figures.py
Figure 4,Figure4_measurement_efficiency,Figure4A_selection_all_budgets.csv; Figure4B_sampling_curves.csv; Figure4C_updating_curves.csv,FIG4A_Selection_AllBudgets; FIG4B_Learning; SUP_S08_BudgetMatrix,machine-readable source + reproducible plotting script; exact locked submission artwork preserved separately,scripts/build_publication_figures.py
Figure 5,Figure5_architecture_endpoints,Figure5A_546_AUBC.csv; Figure5B_SOW80_AUBC.csv; Figure5C_EndpointR2.csv; Figure5D_DerivedEndpointR2.csv,FIG5A_546_AUBC; FIG5B_SOW80_AUBC; FIG5C_EndpointR2; FIG5D_DerivedEndpointR2,machine-readable source + reproducible plotting script; exact locked submission artwork preserved separately,scripts/build_publication_figures.py
Figure S1,FigureS01_CrossDomain_PCA,FigureS01_DomainPCA.csv,SFIG01_DomainPCA,machine-readable source + reproducible plotting script; exact locked submission artwork preserved separately,scripts/build_publication_figures.py
Figure S2,FigureS02_Predictor_DomainShift,FigureS02_DomainShift.csv,SFIG02_DomainShift,machine-readable source + reproducible plotting script; exact locked submission artwork preserved separately,scripts/build_publication_figures.py
Figure S3,FigureS03_External_Agreement,FigureS03_ExternalAgreement.csv,SFIG03_ExternalAgreement,machine-readable source + reproducible plotting script; exact locked submission artwork preserved separately,scripts/build_publication_figures.py
Figure S4,FigureS04_preupdate_error_heterogeneity,FigureS04_preupdate_ingredient_heterogeneity.csv,Supplementary subgroup source; full 91-diet pre-update derivation,machine-readable source + reproducible plotting script; exact locked submission artwork preserved separately,scripts/build_publication_figures.py
Figure S5,FigureS05_Selection_Geometry_AllBudgets,FigureS05_Selection_AllBudgets.csv,FIG4A_Selection_AllBudgets,machine-readable source + reproducible plotting script; exact locked submission artwork preserved separately,scripts/build_publication_figures.py
Figure S6,FigureS06_Sampling_Strategy_Curves,FigureS06_SamplingCurves.csv,SFIG14_SamplingCurves,machine-readable source + reproducible plotting script; exact locked submission artwork preserved separately,scripts/build_publication_figures.py
Figure S7,FigureS07_Updating_Boundary_Curves,FigureS07_UpdatingCurves.csv,SFIG15_UpdatingCurves,machine-readable source + reproducible plotting script; exact locked submission artwork preserved separately,scripts/build_publication_figures.py
Figure S8,FigureS08_MeasurementDepth_Analysis,FigureS08_MeasurementDepth.csv,Supplementary Table S8,machine-readable source + reproducible plotting script; exact locked submission artwork preserved separately,scripts/build_publication_figures.py
Figure S9,FigureS09_ArchitectureSpecific_ResponseSurface_3_21,FigureS09_S10_full_matrix_summary.csv; FigureS09_S10_full_matrix_aubc.csv,Architecture-specific full-matrix summary,machine-readable source + reproducible plotting script; exact locked submission artwork preserved separately,scripts/build_publication_figures.py
Figure S10,FigureS10_ArchitectureSpecific_AllUpdatingMethods_3_21,FigureS09_S10_full_matrix_summary.csv,Architecture-specific full-matrix summary,machine-readable source + reproducible plotting script; exact locked submission artwork preserved separately,scripts/build_publication_figures.py
